timestamp, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/05/04 00:43:53.767, 20318 MiB, 0 %, 68.97 W
2026/05/04 00:43:54.768, 22702 MiB, 59 %, 97.52 W
2026/05/04 00:43:55.768, 22706 MiB, 61 %, 199.73 W
2026/05/04 00:43:56.768, 22706 MiB, 71 %, 147.99 W
2026/05/04 00:43:57.768, 22706 MiB, 0 %, 153.09 W
2026/05/04 00:43:58.769, 22706 MiB, 0 %, 100.70 W
2026/05/04 00:43:59.769, 22706 MiB, 0 %, 65.97 W
2026/05/04 00:44:00.769, 22706 MiB, 0 %, 59.65 W
2026/05/04 00:44:01.770, 22706 MiB, 0 %, 53.69 W
2026/05/04 00:44:02.770, 22706 MiB, 0 %, 53.84 W
2026/05/04 00:44:03.771, 22706 MiB, 0 %, 53.83 W
2026/05/04 00:44:04.771, 22706 MiB, 0 %, 53.85 W
2026/05/04 00:44:05.771, 22706 MiB, 0 %, 53.84 W
2026/05/04 00:44:06.772, 22706 MiB, 0 %, 53.65 W
2026/05/04 00:44:07.772, 22706 MiB, 0 %, 53.60 W
2026/05/04 00:44:08.772, 22706 MiB, 0 %, 53.59 W
2026/05/04 00:44:09.773, 22706 MiB, 0 %, 53.48 W
2026/05/04 00:44:10.773, 6372 MiB, 37 %, 60.42 W
2026/05/04 00:44:11.773, 20958 MiB, 83 %, 69.47 W
2026/05/04 00:44:12.774, 20958 MiB, 78 %, 68.82 W
2026/05/04 00:44:13.774, 20958 MiB, 25 %, 68.88 W
2026/05/04 00:44:14.774, 6364 MiB, 55 %, 68.77 W
2026/05/04 00:44:15.775, 20958 MiB, 79 %, 73.10 W
2026/05/04 00:44:16.775, 20958 MiB, 75 %, 68.71 W
2026/05/04 00:44:17.775, 20958 MiB, 79 %, 68.81 W
2026/05/04 00:44:18.776, 20958 MiB, 61 %, 68.53 W
2026/05/04 00:44:19.776, 20958 MiB, 54 %, 72.77 W
2026/05/04 00:44:20.776, 20958 MiB, 76 %, 68.64 W
2026/05/04 00:44:21.777, 20958 MiB, 76 %, 68.84 W
2026/05/04 00:44:22.777, 20958 MiB, 48 %, 68.58 W
2026/05/04 00:44:23.777, 6364 MiB, 100 %, 71.75 W
2026/05/04 00:44:24.777, 20958 MiB, 79 %, 70.66 W
2026/05/04 00:44:25.778, 20958 MiB, 78 %, 68.53 W
2026/05/04 00:44:26.778, 20958 MiB, 79 %, 68.43 W
2026/05/04 00:44:27.778, 6364 MiB, 74 %, 68.55 W
2026/05/04 00:44:28.779, 20958 MiB, 79 %, 72.74 W
2026/05/04 00:44:29.779, 20958 MiB, 78 %, 68.88 W
2026/05/04 00:44:30.779, 20958 MiB, 79 %, 68.62 W
